text,dimension_model,dimensions,scores,delta
I am good at managing responsibilities of daily life.,claude-sonnet-4.5,['Occupational'],[0.4007028341293335],0.05
I am lonely.,claude-sonnet-4.5,['Social'],[0.2523191273212433],0.05
I have a desire to have sex with someone.,claude-sonnet-4.5,"['Social', 'Environmental', 'Spiritual']","[0.1368934065103531, 0.10731945186853409, 0.09085432440042496]",0.05
I would do better if I could have a friend to talk to.,claude-sonnet-4.5,['Social'],[0.19054314494132996],0.05
Maintaining close relationships has been challenging and frustrating for me.,claude-sonnet-4.5,['Social'],[0.3605369031429291],0.05
I scream at friends after I tell them they can't talk to me.,claude-sonnet-4.5,"['Emotional', 'Social']","[0.1641886681318283, 0.13995453715324402]",0.05
I am healthy in my relationships and relationships can be difficult but I am strong and confident.,claude-sonnet-4.5,['Social'],[0.3864693343639374],0.05
I have been very frank about my shortcomings.,claude-sonnet-4.5,['Intellectual'],[0.2561706602573395],0.05
Maintaining close relationships has been more rewarding than the last time.,claude-sonnet-4.5,['Social'],[0.32324349880218506],0.05
I don't know where my next big project will take me.,claude-sonnet-4.5,"['Environmental', 'Intellectual']","[0.17278394103050232, 0.17135009169578552]",0.05
I have been dealing with depression and anxiety.,claude-sonnet-4.5,['Emotional'],[0.28041112422943115],0.05
I hope I have a friend who can help me when I feel stressed and need support.,claude-sonnet-4.5,['Emotional'],[0.29598742723464966],0.05
"I hope to have good health, good friends and good chances.",claude-sonnet-4.5,"['Social', 'Physical', 'Financial', 'Environmental']","[0.2607252597808838, 0.2452440857887268, 0.2308894395828247, 0.21855124831199646]",0.05
I am able to have a productive day without being stressed out by life's issues.,claude-sonnet-4.5,['Occupational'],[0.37289199233055115],0.05
I believe that I can still make the best choices for myself and my life.,claude-sonnet-4.5,['Emotional'],[0.3001900017261505],0.05
I am able to trust others when they tell me how to live my life.,claude-sonnet-4.5,['Social'],[0.4428187608718872],0.05
I believe that my own opinion matters more than other peoples.,claude-sonnet-4.5,['Social'],[0.25179627537727356],0.05
"I feel anxious about my emotions, especially when they are related to work or relationships.",claude-sonnet-4.5,['Emotional'],[0.4701916575431824],0.05
I have been happy with my current situation.,claude-sonnet-4.5,['Emotional'],[0.2851080894470215],0.05
My social relationships are superficial.,claude-sonnet-4.5,['Social'],[0.49701958894729614],0.05
"I have confidence in my social relationships, even if they are superficial.",claude-sonnet-4.5,['Social'],[0.5392070412635803],0.05
"I have many friends, but they are superficial.",claude-sonnet-4.5,['Social'],[0.3304283320903778],0.05
"My friends are helpful, and they are there for me when I need help.",claude-sonnet-4.5,['Social'],[0.2917388379573822],0.05
I have plenty of friends who will be there for me when I need help.,claude-sonnet-4.5,['Social'],[0.26699671149253845],0.05
I get help when I need it.,claude-sonnet-4.5,"['Emotional', 'Social', 'Intellectual']","[0.18475177884101868, 0.15844754874706268, 0.15469366312026978]",0.05
I have a good attitude about my life.,claude-sonnet-4.5,"['Social', 'Environmental', 'Occupational']","[0.308792382478714, 0.2894531786441803, 0.2828005254268646]",0.05
I have a high confidence in my own abilities.,claude-sonnet-4.5,"['Intellectual', 'Social']","[0.28965049982070923, 0.26850733160972595]",0.05
"I always say what I think, and people find this fact attractive.",claude-sonnet-4.5,['Social'],[0.20899014174938202],0.05
"I am a compassionate, open-minded individual who feels valued.",claude-sonnet-4.5,['Spiritual'],[0.4026033580303192],0.05
"I have a desire to achieve more, but sometimes find that I don't.",claude-sonnet-4.5,"['Intellectual', 'Occupational']","[0.3194408416748047, 0.28844669461250305]",0.05
"I am happy with my life in general, and enjoy socializing with friends.",claude-sonnet-4.5,['Social'],[0.5305016040802002],0.05
I often take a negative view of people.,claude-sonnet-4.5,"['Emotional', 'Social']","[0.2677341103553772, 0.23025771975517273]",0.05
I find things to be fun and rewarding.,claude-sonnet-4.5,"['Intellectual', 'Occupational']","[0.33535945415496826, 0.33189836144447327]",0.05
I understand it is always a struggle to find a purpose in life.,claude-sonnet-4.5,"['Emotional', 'Spiritual']","[0.33851560950279236, 0.3236413598060608]",0.05
I can tolerate the unknown.,claude-sonnet-4.5,"['Intellectual', 'Emotional']","[0.19758901000022888, 0.1488751918077469]",0.05
I can handle whatever comes my way.,claude-sonnet-4.5,"['Environmental', 'Emotional', 'Intellectual']","[0.21587087213993073, 0.20997822284698486, 0.1901008039712906]",0.05
Stress causes me to be vulnerable in my life.,claude-sonnet-4.5,['Emotional'],[0.4431004226207733],0.05
My positive outlook is largely attributed to exercise.,claude-sonnet-4.5,"['Occupational', 'Emotional', 'Physical']","[0.3050740659236908, 0.2970230281352997, 0.2877193093299866]",0.05
I like to feel that everyone wants to be around me. Having to cope with stress can make me stronger.,claude-sonnet-4.5,['Emotional'],[0.42759132385253906],0.05
Stress is in my life. Having to cope with stress can make me stronger.,claude-sonnet-4.5,['Emotional'],[0.40576499700546265],0.05
"I think I am worth pursuing, though I sometimes feel discouraged.",claude-sonnet-4.5,"['Intellectual', 'Emotional']","[0.2671479284763336, 0.22188317775726318]",0.05
I am aware that I sometimes feel like I am not important in my life.,claude-sonnet-4.5,"['Emotional', 'Social', 'Intellectual']","[0.33137190341949463, 0.30021700263023376, 0.2877791225910187]",0.05
I find it challenging to work for something that I love.,claude-sonnet-4.5,"['Occupational', 'Emotional']","[0.3457620441913605, 0.3209667503833771]",0.05
I have no idea how long it will take me to get to sleep every night.,claude-sonnet-4.5,"['Physical', 'Occupational', 'Spiritual', 'Intellectual']","[0.0410662405192852, 0.038915764540433884, 0.027899764478206635, 0.021671731024980545]",0.05
I am usually tired when I get up in the morning and I usually remember to wear a pair of comfy jeans.,claude-sonnet-4.5,"['Physical', 'Occupational']","[0.14323770999908447, 0.09538710862398148]",0.05
I am more calm and calmer than I used to be when it comes to getting a good night's sleep.,claude-sonnet-4.5,['Emotional'],[0.33799561858177185],0.05
Having to deal with stress can make me strong.,claude-sonnet-4.5,['Emotional'],[0.41429758071899414],0.05
I don't like having my family take care of me.,claude-sonnet-4.5,"['Environmental', 'Social']","[0.16903959214687347, 0.13504460453987122]",0.05
I judge myself to be a happy person.,claude-sonnet-4.5,"['Emotional', 'Social', 'Occupational']","[0.2964826822280884, 0.25413796305656433, 0.25067996978759766]",0.05
I feel unsure about my future.,claude-sonnet-4.5,['Financial'],[0.26954185962677],0.05
I have no friends and no family for support.,claude-sonnet-4.5,['Social'],[0.22339728474617004],0.05
"When I had a problem with my mood, I tried and failed.",claude-sonnet-4.5,['Emotional'],[0.3050551414489746],0.05
I feel isolated from others.,claude-sonnet-4.5,"['Social', 'Emotional']","[0.39026936888694763, 0.3411758840084076]",0.05
I am socially awkward.,claude-sonnet-4.5,['Social'],[0.39643701910972595],0.05
I am trying to do something positive in my life.,claude-sonnet-4.5,"['Emotional', 'Social', 'Intellectual', 'Spiritual']","[0.30452561378479004, 0.2760758399963379, 0.26584693789482117, 0.2616907060146332]",0.05
I feel good about myself.,claude-sonnet-4.5,"['Physical', 'Social', 'Emotional', 'Spiritual', 'Occupational']","[0.26883256435394287, 0.2578325569629669, 0.24637271463871002, 0.2456047087907791, 0.2378811091184616]",0.05
There are times when I feel like the one in the crowd or at a movie theater.,claude-sonnet-4.5,"['Emotional', 'Social']","[0.20272323489189148, 0.19549459218978882]",0.05
It has been difficult to make friends with many people.,claude-sonnet-4.5,['Social'],[0.39312320947647095],0.05
I have experienced many life changes and changes in my life.,claude-sonnet-4.5,['Emotional'],[0.40170422196388245],0.05
My body is strong.,claude-sonnet-4.5,['Physical'],[0.37986478209495544],0.05
I feel happy about my work.,claude-sonnet-4.5,['Occupational'],[0.3742985427379608],0.05
I feel happy.,claude-sonnet-4.5,['Emotional'],[0.2675243318080902],0.05
I feel unable to make friends because I am always alone,claude-sonnet-4.5,['Social'],[0.4011384844779968],0.05
I am experiencing some life-altering problems.,claude-sonnet-4.5,"['Emotional', 'Environmental']","[0.25116807222366333, 0.23289981484413147]",0.05
"I am content doing so many things alone - Life is not very exciting for me, but it does not hold much hope.",claude-sonnet-4.5,"['Occupational', 'Emotional']","[0.33224499225616455, 0.3067499101161957]",0.05
I am happy doing so many things alone,claude-sonnet-4.5,"['Occupational', 'Emotional']","[0.27586328983306885, 0.2515709698200226]",0.05
I am lonely doing so much alone,claude-sonnet-4.5,"['Occupational', 'Social', 'Emotional']","[0.2308109700679779, 0.20795539021492004, 0.18153388798236847]",0.05
I am satisfied with the amount of information I have been able to process so far.,claude-sonnet-4.5,"['Occupational', 'Financial', 'Intellectual', 'Social']","[0.17835742235183716, 0.15772047638893127, 0.15436729788780212, 0.1301836520433426]",0.05
I am often sad.,claude-sonnet-4.5,['Emotional'],[0.35523316264152527],0.05
I always think of the future.,claude-sonnet-4.5,['Financial'],[0.24655640125274658],0.05
I live life one day at a time and think about the future a lot.,claude-sonnet-4.5,['Intellectual'],[0.26809418201446533],0.05
I am confident in who I am.,claude-sonnet-4.5,['Social'],[0.29455462098121643],0.05
I get so many people to know me that the others often don't even know me well.,claude-sonnet-4.5,['Social'],[0.3209748864173889],0.05
I am confident that I am a good person.,claude-sonnet-4.5,['Social'],[0.3457358181476593],0.05
I would rank the past month's sleep quality overall as good overall.,claude-sonnet-4.5,"['Environmental', 'Physical', 'Spiritual']","[0.09760058671236038, 0.0772566944360733, 0.0637948215007782]",0.05
"In general, I think most things happen for a reason.",claude-sonnet-4.5,['Emotional'],[0.2051571011543274],0.05
I think that most things happen for a reason.,claude-sonnet-4.5,"['Emotional', 'Environmental']","[0.18649542331695557, 0.16018834710121155]",0.05
I am stressed and feel out of balance.,claude-sonnet-4.5,['Emotional'],[0.30841687321662903],0.05
I expect to be physically healthy in the future.,claude-sonnet-4.5,['Physical'],[0.46359434723854065],0.05
I have an anxiety attack that affects my life.,claude-sonnet-4.5,['Emotional'],[0.28863346576690674],0.05
I am confident that I am in control of my life.,claude-sonnet-4.5,"['Social', 'Emotional', 'Intellectual', 'Financial']","[0.2345617562532425, 0.23253948986530304, 0.2207595556974411, 0.1961890608072281]",0.05
I have a strong sense of purpose in my life.,claude-sonnet-4.5,['Spiritual'],[0.39546999335289],0.05
I am able to communicate and express myself.,claude-sonnet-4.5,"['Emotional', 'Social', 'Intellectual']","[0.3620395362377167, 0.33140242099761963, 0.33100080490112305]",0.05
I am satisfied with my life.,claude-sonnet-4.5,['Occupational'],[0.46575039625167847],0.05
I am resilient in the face of difficult situations.,claude-sonnet-4.5,['Emotional'],[0.5317488312721252],0.05
I appreciate positive and positive people in my life.,claude-sonnet-4.5,['Social'],[0.3649725019931793],0.05
"I am confident that I can handle unpleasant or painful feelings like sadness, fear, and anger.",claude-sonnet-4.5,['Emotional'],[0.49509143829345703],0.05
I am very grateful for what I have and am satisfied with most parts of my life.,claude-sonnet-4.5,['Occupational'],[0.413860023021698],0.05
I will always strive to do better in what I do.,claude-sonnet-4.5,['Occupational'],[0.3882896602153778],0.05
I am always optimistic about the things that keep me from feeling depressed.,claude-sonnet-4.5,['Emotional'],[0.3822975754737854],0.05
I am never too old to laugh.,claude-sonnet-4.5,"['Intellectual', 'Emotional']","[0.07656586170196533, 0.0435250848531723]",0.05
Often I get in trouble for making my own decisions.,claude-sonnet-4.5,"['Intellectual', 'Financial', 'Environmental']","[0.18105655908584595, 0.1775771826505661, 0.16123218834400177]",0.05
I am feeling lonely and overwhelmed.,claude-sonnet-4.5,"['Emotional', 'Occupational']","[0.28941068053245544, 0.24703481793403625]",0.05
"In the past, I rarely did anything to expect to go my way.",claude-sonnet-4.5,"['Social', 'Occupational', 'Financial', 'Spiritual', 'Emotional']","[0.10178525000810623, 0.07414618879556656, 0.066317118704319, 0.05482698976993561, 0.05336468666791916]",0.05
I am able to deal with any challenges I encounter.,claude-sonnet-4.5,['Emotional'],[0.3200111985206604],0.05
"I am a leader, I feel so confident, but I can't handle being so alone.",claude-sonnet-4.5,['Social'],[0.3100886344909668],0.05
I tend to overcome major life challenges with greater stability and peace.,claude-sonnet-4.5,['Emotional'],[0.42979738116264343],0.05
I am very resilient.,claude-sonnet-4.5,['Emotional'],[0.442965567111969],0.05
I am resilient and will be able to handle any challenge or stress in life.,claude-sonnet-4.5,['Emotional'],[0.5233599543571472],0.05
"I struggle to adjust to new situations, new people, and new environments.",claude-sonnet-4.5,['Emotional'],[0.4205103814601898],0.05
I have always fought for what I believe in.,claude-sonnet-4.5,['Spiritual'],[0.22824008762836456],0.05
I am in control of my life.,claude-sonnet-4.5,"['Emotional', 'Intellectual']","[0.22010576725006104, 0.20738503336906433]",0.05
I find it hard to interact with those around me.,claude-sonnet-4.5,['Social'],[0.2684938907623291],0.05
Sometimes I am unable to reach out and communicate with those around me,claude-sonnet-4.5,['Social'],[0.25873616337776184],0.05
I don't feel like myself.,claude-sonnet-4.5,"['Emotional', 'Social']","[0.15215909481048584, 0.14242783188819885]",0.05
Sometimes I feel alone in my life.,claude-sonnet-4.5,['Emotional'],[0.3310777246952057],0.05
I feel happy that I can make it in the world.,claude-sonnet-4.5,"['Emotional', 'Occupational']","[0.2788981795310974, 0.258330374956131]",0.05
I feel a sense of responsibility about my future.,claude-sonnet-4.5,['Financial'],[0.3578658998012543],0.05
"When I try to achieve my goals, I may not accomplish what I would like to do.",claude-sonnet-4.5,"['Intellectual', 'Financial', 'Occupational']","[0.27953025698661804, 0.26130789518356323, 0.2302931249141693]",0.05
I believe my choices will be beneficial.,claude-sonnet-4.5,"['Environmental', 'Intellectual']","[0.1979469507932663, 0.19458679854869843]",0.05
I'm hopeful that I'll accomplish my dreams.,claude-sonnet-4.5,['Intellectual'],[0.23631876707077026],0.05
I enjoy taking the time to think about the future.,claude-sonnet-4.5,['Intellectual'],[0.2659197151660919],0.05
I am optimistic in my future self.,claude-sonnet-4.5,"['Financial', 'Intellectual', 'Emotional', 'Occupational', 'Social']","[0.2583567798137665, 0.24283011257648468, 0.2334219068288803, 0.22356411814689636, 0.21620045602321625]",0.05
I focus on the present and can live life to the fullest without concern for the future.,claude-sonnet-4.5,"['Financial', 'Emotional', 'Intellectual', 'Spiritual', 'Environmental']","[0.31366655230522156, 0.30362164974212646, 0.3015483617782593, 0.2683824300765991, 0.2673768401145935]",0.05
I have a single devoted boyfriend,claude-sonnet-4.5,['Social'],[0.20825600624084473],0.05
I am very content in my current relationship.,claude-sonnet-4.5,['Social'],[0.3610341250896454],0.05
I am happy being so withdrawn.,claude-sonnet-4.5,['Emotional'],[0.2591829001903534],0.05
I am not afraid of being disappointed.,claude-sonnet-4.5,['Emotional'],[0.04819614440202713],0.05
I am often influenced by others.,claude-sonnet-4.5,['Social'],[0.3475649058818817],0.05
I am not often discouraged by failure.,claude-sonnet-4.5,"['Emotional', 'Intellectual', 'Occupational']","[0.2522951066493988, 0.22494617104530334, 0.20702993869781494]",0.05
"I believe I need support from my family members and friends, but it is difficult for me to make friends.",claude-sonnet-4.5,['Social'],[0.3947332501411438],0.05
"I have had trouble staying awake while driving, eating meals, or engaging in social activity.",claude-sonnet-4.5,"['Physical', 'Social', 'Emotional', 'Occupational']","[0.15347713232040405, 0.1506333202123642, 0.14445661008358002, 0.10662992298603058]",0.05
"I am lonely. I cannot connect with my loved ones, and my life is often void of positive mental stimulation.",claude-sonnet-4.5,"['Social', 'Emotional']","[0.340603768825531, 0.29963037371635437]",0.05
I know it can be difficult to cope with failures.,claude-sonnet-4.5,['Emotional'],[0.30386489629745483],0.05
I am a strong and resilient person.,claude-sonnet-4.5,['Emotional'],[0.4735642373561859],0.05
I can't communicate in an effective way,claude-sonnet-4.5,"['Social', 'Intellectual', 'Emotional']","[0.20289346575737, 0.19587908685207367, 0.19519169628620148]",0.05
I feel lonely and feel like I am always left alone in my daily life.,claude-sonnet-4.5,"['Emotional', 'Social', 'Occupational']","[0.30904752016067505, 0.2780894637107849, 0.270806223154068]",0.05
I have no friends or family close by.,claude-sonnet-4.5,['Social'],[0.24013245105743408],0.05
I am a successful person.,claude-sonnet-4.5,"['Occupational', 'Social', 'Intellectual']","[0.3317781090736389, 0.3267900347709656, 0.32229480147361755]",0.05
I'm still finding my purpose and purpose in life.,claude-sonnet-4.5,"['Spiritual', 'Emotional', 'Occupational']","[0.3291884660720825, 0.3286868631839752, 0.29620134830474854]",0.05
I enjoy being a part of my community and socializing.,claude-sonnet-4.5,['Social'],[0.4798661172389984],0.05
I sometimes think I have done enough.,claude-sonnet-4.5,"['Occupational', 'Emotional', 'Intellectual', 'Financial']","[0.13095402717590332, 0.12871821224689484, 0.12854820489883423, 0.09453286230564117]",0.05
I sometimes think I have done all there is to do in life and I sometimes feel as if I've done all I can in life.,claude-sonnet-4.5,['Occupational'],[0.3484276533126831],0.05
I sometimes feel like I am a failed person.,claude-sonnet-4.5,['Emotional'],[0.27552178502082825],0.05
I sometimes feel as if I have already done all there is to do in life.,claude-sonnet-4.5,"['Occupational', 'Intellectual']","[0.3066830635070801, 0.25897085666656494]",0.05
I can handle my responsibilities.,claude-sonnet-4.5,"['Occupational', 'Financial', 'Intellectual', 'Emotional', 'Environmental']","[0.2852191627025604, 0.2664337456226349, 0.24906721711158752, 0.2400161325931549, 0.2393413931131363]",0.05
I feel able to cope with change.,claude-sonnet-4.5,['Emotional'],[0.39576682448387146],0.05
I am able to handle my responsibilities.,claude-sonnet-4.5,"['Occupational', 'Financial', 'Emotional', 'Intellectual']","[0.30275440216064453, 0.2963190972805023, 0.2704712450504303, 0.2685599625110626]",0.05
I have a feeling of direction in my life.,claude-sonnet-4.5,"['Spiritual', 'Emotional', 'Intellectual']","[0.2641524076461792, 0.23952120542526245, 0.22006598114967346]",0.05
I feel as if nobody understands me,claude-sonnet-4.5,"['Emotional', 'Intellectual']","[0.2622282803058624, 0.22458244860172272]",0.05
I am able to understand the meaning of life.,gemini-3.0-pro,['Spiritual'],[0.4409681558609009],0.05
I lead a meaningful and purposeful life.,gemini-3.0-pro,['Spiritual'],[0.49012309312820435],0.05
I find that my mental health improves and that my life is meaningful.,gemini-3.0-pro,"['Spiritual', 'Emotional', 'Occupational']","[0.44080713391304016, 0.40385890007019043, 0.3969445526599884]",0.05
I feel fulfilled in my life.,gemini-3.0-pro,"['Occupational', 'Spiritual']","[0.411154180765152, 0.37349599599838257]",0.05
I sometimes feel sad or depressed.,gemini-3.0-pro,['Emotional'],[0.42792487144470215],0.05
"In general, I am not as mentally healthy as other people.",gemini-3.0-pro,['Physical'],[0.3570787310600281],0.05
I always have been well with my physical health.,gemini-3.0-pro,['Physical'],[0.5701374411582947],0.05
I have a good relationship with my parents.,gemini-3.0-pro,['Social'],[0.3902703821659088],0.05
Sometimes I do not understand why people are attracted to me compared to other people.,gemini-3.0-pro,"['Social', 'Occupational']","[0.2676337957382202, 0.2206900268793106]",0.05
I am generally confident about my ability to help people.,gemini-3.0-pro,"['Social', 'Spiritual', 'Intellectual', 'Occupational']","[0.30816298723220825, 0.28975871205329895, 0.28733277320861816, 0.26640239357948303]",0.05
It is important to me that I feel happy and confident in the sphere of my own life.,gemini-3.0-pro,['Occupational'],[0.41081640124320984],0.05
My social interaction does not interfere with my ability to feel and function well.,gemini-3.0-pro,['Social'],[0.37852734327316284],0.05
My day is fairly balanced.,gemini-3.0-pro,['Occupational'],[0.330142617225647],0.05
I do not have any issues with focusing.,gemini-3.0-pro,"['Emotional', 'Intellectual', 'Financial']","[0.1604439914226532, 0.12987196445465088, 0.1281074732542038]",0.05
The amount of information that I process in a typical day is just about right for me.,gemini-3.0-pro,"['Occupational', 'Intellectual']","[0.28979936242103577, 0.2517077624797821]",0.05
I feel as if I've done everything there is to do in life.,gemini-3.0-pro,"['Occupational', 'Emotional']","[0.38584986329078674, 0.34120288491249084]",0.05
I sometimes feel as if I haven't accomplished much in my life.,gemini-3.0-pro,"['Occupational', 'Emotional']","[0.42498210072517395, 0.3830035626888275]",0.05
"When I am in need, my family is there for me.",gemini-3.0-pro,"['Social', 'Emotional', 'Spiritual']","[0.3007279932498932, 0.2642222046852112, 0.2549575865268707]",0.05
I am usually happy to be with my family.,gemini-3.0-pro,"['Occupational', 'Emotional', 'Social']","[0.31181758642196655, 0.2994110584259033, 0.2851766049861908]",0.05
I have not always had friends with whom I could share my joys and sorrows.,gemini-3.0-pro,['Social'],[0.35556700825691223],0.05
I typically find intellectual challenges to be vital to my overall well-being.,gemini-3.0-pro,['Intellectual'],[0.5662634372711182],0.05
"In the past, I usually find intellectual challenges to be vital to my overall well-being.",gemini-3.0-pro,['Intellectual'],[0.5561888813972473],0.05
"In the past, I have found intellectual challenges to be vital to my overall well-being.",gemini-3.0-pro,['Intellectual'],[0.5567159652709961],0.05
I have found intellectual challenges to be vital to my overall well-being.,gemini-3.0-pro,['Intellectual'],[0.5673395991325378],0.05
I enjoy taking an intellectual challenge for a number of reasons and enjoy taking time to think about my own self and others.,gemini-3.0-pro,['Intellectual'],[0.5487528443336487],0.05
I feel sad and lonely being alone,gemini-3.0-pro,['Emotional'],[0.34031280875205994],0.05
"I feel tired, sleepless, and lonely.",gemini-3.0-pro,"['Emotional', 'Physical', 'Occupational']","[0.23513029515743256, 0.22356915473937988, 0.21784693002700806]",0.05
I try to achieve my goals.,gemini-3.0-pro,"['Occupational', 'Spiritual', 'Intellectual']","[0.3521280288696289, 0.32481154799461365, 0.3168565332889557]",0.05
In many ways I feel frustrated about my achievements in life.,gemini-3.0-pro,"['Occupational', 'Emotional']","[0.3854161500930786, 0.37865039706230164]",0.05
The amount of stress I feel in my life is quite normal.,gemini-3.0-pro,['Emotional'],[0.531574547290802],0.05
"In the past, I have received the best.",gemini-3.0-pro,"['Social', 'Occupational', 'Spiritual']","[0.11030520498752594, 0.07461660355329514, 0.06893666088581085]",0.05
I tend to feel insecure about my abilities and I have difficulty being loved by others.,gemini-3.0-pro,['Emotional'],[0.335658997297287],0.05
I feel lonely,gemini-3.0-pro,"['Occupational', 'Social', 'Emotional']","[0.23728957772254944, 0.22473053634166718, 0.21593345701694489]",0.05
I feel cynical about my skills.,gemini-3.0-pro,['Intellectual'],[0.40534722805023193],0.05
I have problems in my personal relationships.,gemini-3.0-pro,['Social'],[0.322634220123291],0.05
I know my family and friends will always love me and will be there for me if I need them.,gemini-3.0-pro,"['Social', 'Emotional']","[0.29606151580810547, 0.24756911396980286]",0.05
I find that being alone can make me feel bad.,gemini-3.0-pro,"['Emotional', 'Social']","[0.3308807611465454, 0.29332780838012695]",0.05
I never feel comfortable sharing my family life with others.,gemini-3.0-pro,['Social'],[0.35314470529556274],0.05
I am not satisfied with my relationships with my family or friends.,gemini-3.0-pro,"['Social', 'Emotional']","[0.33059754967689514, 0.28229787945747375]",0.05
I try to see the funny side of things.,gemini-3.0-pro,"['Intellectual', 'Environmental']","[0.19318892061710358, 0.15159837901592255]",0.05
I think most problems that I encounter are related to a person who is self-centered.,gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.3362788259983063, 0.33007121086120605]",0.05
I try to see the positive side of things when faced with challenges.,gemini-3.0-pro,['Emotional'],[0.393764853477478],0.05
I always look on the bright side of things when I am faced with problems.,gemini-3.0-pro,['Emotional'],[0.38505789637565613],0.05
I sometimes feel as if I have done all there is to do in life.,gemini-3.0-pro,"['Occupational', 'Emotional']","[0.37355801463127136, 0.357236385345459]",0.05
"I feel as if I've done all there is to do in life and this is a negative thought, as my own personal experiences have",gemini-3.0-pro,"['Spiritual', 'Occupational', 'Emotional']","[0.33999523520469666, 0.3383863866329193, 0.3370082974433899]",0.05
I think I might be in an 'ok place'.,gemini-3.0-pro,['Environmental'],[0.3258396089076996],0.05
I feel like I've never accomplished anything.,gemini-3.0-pro,"['Occupational', 'Emotional', 'Intellectual']","[0.32780590653419495, 0.28616687655448914, 0.28476178646087646]",0.05
I am able to handle the demands of everyday life.,gemini-3.0-pro,"['Emotional', 'Occupational']","[0.42883479595184326, 0.4246012270450592]",0.05
"I am capable of managing unpleasant or painful feelings like sadness, fear, and anger.",gemini-3.0-pro,['Emotional'],[0.5909633040428162],0.05
I am comfortable being alone.,gemini-3.0-pro,"['Social', 'Emotional', 'Environmental']","[0.2838437557220459, 0.27046269178390503, 0.25593629479408264]",0.05
I believe that life has a purpose.,gemini-3.0-pro,['Spiritual'],[0.3370171785354614],0.05
I appreciate the amount of intellectual stimulation I receive in my daily life.,gemini-3.0-pro,['Intellectual'],[0.5971392393112183],0.05
"Generally, I feel satisfied with my personal life and the amount of intellectual stimulation I receive in my daily life.",gemini-3.0-pro,['Occupational'],[0.553109884262085],0.05
I believe my life's journey should have a purpose.,gemini-3.0-pro,"['Spiritual', 'Occupational']","[0.40101927518844604, 0.37128740549087524]",0.05
I enjoy writing.,gemini-3.0-pro,['Intellectual'],[0.3359343111515045],0.05
I tend to be anxious and scared.,gemini-3.0-pro,['Emotional'],[0.4124782085418701],0.05
I am unable to reach out and communicate with those around me.,gemini-3.0-pro,"['Emotional', 'Social', 'Spiritual']","[0.1990661472082138, 0.17581036686897278, 0.16134893894195557]",0.05
I try to stay positive and work through difficulties,gemini-3.0-pro,"['Occupational', 'Emotional']","[0.4385637938976288, 0.4214158356189728]",0.05
I work to achieve goals.,gemini-3.0-pro,['Occupational'],[0.45276015996932983],0.05
I am very successful at work and have a stable income.,gemini-3.0-pro,"['Financial', 'Occupational']","[0.34850504994392395, 0.3337005376815796]",0.05
I am good at managing responsibilities of daily life.,gemini-3.0-pro,['Occupational'],[0.4247325360774994],0.05
I am lonely.,gemini-3.0-pro,"['Social', 'Occupational']","[0.20094947516918182, 0.20034010708332062]",0.05
I have a desire to have sex with someone.,gemini-3.0-pro,"['Social', 'Spiritual', 'Occupational', 'Emotional']","[0.1610621064901352, 0.15631066262722015, 0.13298317790031433, 0.1253107786178589]",0.05
I would do better if I could have a friend to talk to.,gemini-3.0-pro,['Social'],[0.2059621661901474],0.05
Maintaining close relationships has been challenging and frustrating for me.,gemini-3.0-pro,"['Emotional', 'Social']","[0.43302032351493835, 0.39425724744796753]",0.05
I scream at friends after I tell them they can't talk to me.,gemini-3.0-pro,"['Emotional', 'Social']","[0.19218285381793976, 0.1822834312915802]",0.05
I am healthy in my relationships and relationships can be difficult but I am strong and confident.,gemini-3.0-pro,['Social'],[0.36433812975883484],0.05
I have been very frank about my shortcomings.,gemini-3.0-pro,"['Intellectual', 'Social', 'Emotional']","[0.21506580710411072, 0.18167772889137268, 0.17290544509887695]",0.05
Maintaining close relationships has been more rewarding than the last time.,gemini-3.0-pro,['Social'],[0.35273587703704834],0.05
I don't know where my next big project will take me.,gemini-3.0-pro,['Intellectual'],[0.20818506181240082],0.05
I have been dealing with depression and anxiety.,gemini-3.0-pro,['Emotional'],[0.4584519863128662],0.05
I hope I have a friend who can help me when I feel stressed and need support.,gemini-3.0-pro,['Emotional'],[0.3876221179962158],0.05
"I hope to have good health, good friends and good chances.",gemini-3.0-pro,"['Physical', 'Social']","[0.36117541790008545, 0.350099116563797]",0.05
I am able to have a productive day without being stressed out by life's issues.,gemini-3.0-pro,"['Occupational', 'Emotional']","[0.44502192735671997, 0.4171546995639801]",0.05
I believe that I can still make the best choices for myself and my life.,gemini-3.0-pro,"['Spiritual', 'Emotional', 'Occupational']","[0.28467386960983276, 0.2792747914791107, 0.25397536158561707]",0.05
I am able to trust others when they tell me how to live my life.,gemini-3.0-pro,"['Spiritual', 'Social']","[0.36189019680023193, 0.3443131148815155]",0.05
I believe that my own opinion matters more than other peoples.,gemini-3.0-pro,['Spiritual'],[0.2603219747543335],0.05
"I feel anxious about my emotions, especially when they are related to work or relationships.",gemini-3.0-pro,['Emotional'],[0.5433558225631714],0.05
I have been happy with my current situation.,gemini-3.0-pro,['Emotional'],[0.35374242067337036],0.05
My social relationships are superficial.,gemini-3.0-pro,['Social'],[0.4647524952888489],0.05
"I have confidence in my social relationships, even if they are superficial.",gemini-3.0-pro,['Social'],[0.48167645931243896],0.05
